playerName,aliases,team,teamId,league,number,era,imageFile,difficulty,ratingScore
Dan Marino,Dan Marino;Marino,Dolphins,MIA,NFL,13,1983-1999,mia-13-dan-marino.png,easy,2
Yao Ming,Yao Ming;Yao,Rockets,HOU,NBA,11,2002-2011,hou-11-yao-ming.png,medium,5
Hank Aaron,Hank Aaron;Hammerin' Hank,Braves,ATL,MLB,44,1954-1974,atl-44-hank-aaron.png,hard,8
Ichiro Suzuki,Ichiro Suzuki;Ichiro,Mariners,SEA,MLB,51,2001-2012 / 2018-2019,sea-51-ichiro-suzuki.png,medium,5
LaDainian Tomlinson,LaDainian Tomlinson;LT,Chargers,SD,NFL,21,2001-2009,sd-21-ladainian-tomlinson.png,medium,5
